순번,상호,지역,1등 자동 당첨 건수
87,태평고개 가판대,경기 성남시 수정구,1
88,황금열매,경기 성남시 중원구,1
89,1번지복권방,경기 성남시 중원구,1
90,건우유통,경기 성남시 중원구,1
91,은행복권방,경기 성남시 중원구,1
92,복권판매점,경기 성남시 중원구,1
93,천하명당복권방 곡반한솔점,경기 수원시 권선구,1
94,호매실복권방,경기 수원시 권선구,1
95,온누리로또,경기 수원시 권선구,1
96,호매실 드림로또,경기 수원시 권선구,1
97,1등 복권,경기 시흥시,1
98,25시슈퍼,경기 시흥시,1
99,대박나라,경기 시흥시,1
100,까치복권방,경기 시흥시,1
101,희망을주는사람,경기 용인시 처인구,1
102,행복로또판매점,경기 의정부시,1
103,복권,경기 의정부시,2
104,복권방,경기 의정부시,1
105,북부슈퍼,경기 의정부시,1
106,우리로또,경기 의정부시,2
107,행운복권방,경기 의정부시,1
108,드림복권방,경기 의정부시,1
109,에이치엑스(HX)복권방,경기 이천시,1
110,마리골드,대전 대덕구,1
111,천하명당복권방,대전 대덕구,1
112,히든로또,대전 대덕구,1
113,대전우표사,대전 동구,2
114,돈돈복권방,대전 서구,1
115,8888로또,대전 서구,1
116,관저중앙로또,대전 서구,1
117,온천로또방,대전 유성구,1
118,대전하이퍼,대전 중구,1
119,로또는내운명,대전 중구,1
120,복권명당,대전 중구,1
121,서원복권방,부산 강서구,1
122,다온복권방,부산 금정구,1
123,돼지복권명당,부산 기장군,1
124,해바라기 복권방,부산 기장군,1
125,기장슈퍼,부산 기장군,1
126,복남이로또방,부산 남구,1
127,비에이치(BH)복권,부산 남구,1
128,아이스마켓,부산 남구,1
129,황금로또,부산 동구,1
130,부일카서비스,부산 동구,3
131,돈벼락맞는곳,부산 동구,1
132,행운복권방,부산 동래구,1
133,빅세일복권방,부산 부산진구,1
134,매일로또,부산 부산진구,1
135,대구연쇄점,부산 부산진구,1
136,럭키,부산 북구,1
137,대박로또,부산 북구,1
138,스위트초이스,부산 사상구,1
139,로또판매점,부산 사하구,1
140,강서복권방,부산 사하구,1
141,청솔서점,부산 사하구,1
142,돈벼락맞는곳,부산 서구,1
143,로터리복권방,부산 서구,1
144,복터진나라,부산 서구,1
145,진우복권,부산 연제구,1
146,롯데무역,부산 영도구,2
147,훼미리마트영도모닝점,부산 영도구,1
148,대왕로또,부산 영도구,1
149,대교복권판매점,부산 영도구,1
150,프로토베팅샵,부산 중구,1
151,행운나눔로또,부산 중구,1
152,비프광장,부산 중구,1
153,경동플러스,부산 해운대구,1
154,도곡 행운로또방,서울 강남구,1
155,아셈마트,서울 강남구,1
156,투싼,서울 강남구,1
157,로또복권대치점,서울 강남구,1
158, 수서 원스토어,서울 강남구,1
159,교통카드충전소,서울 강동구,1
160,운좋은날,서울 강동구,1
161,노다지훼밀리,서울 강동구,1
162,6/45 로또,서울 강동구,1
163,명당복권방,서울 강동구,1
164,일확천금,서울 강동구,1
165,행운의집,서울 강동구,1
166,길로또복권,서울 강서구,1
167,미나식품(로또판매점),서울 강서구,1
168,신일,서울 강서구,1
169,복권나라,서울 관악구,2
170,행복한 꿈 이야기,서울 관악구,1
171,복권나라,서울 관악구,1
172,가로판매점,서울 관악구,1
173,복권방,서울 광진구,1
174,소망복권,서울 구로구,1
175,복권마을,서울 구로구,1
176,로또 천왕점,서울 구로구,1
177,서하네,서울 구로구,1
178,다모아복권,서울 구로구,1
179,88수퍼,서울 금천구,1
180,영광생활유통,서울 금천구,1
181,하이로또,서울 금천구,1
182,정안 복권방,서울 노원구,1
183,황금대박점,서울 노원구,1
184,정원복권방,서울 도봉구,1
185,대박로또복권,서울 동대문구,1
186,종합가판점,서울 동대문구,1
187,장안평역 3번출구 가판대,서울 동대문구,1
188,삼원미니슈퍼,서울 동작구,1
189,명신사,서울 마포구,1
190,그랜드마트앞가판점,서울 마포구,2
191,럭키라쿤복권상암점,서울 마포구,1
192,강원슈퍼,서울 서대문구,1
193,제일식품,서울 서대문구,1
194,제일슈퍼,서울 서대문구,1
195,민영슈퍼,서울 서대문구,1
196,오케이상사,서울 서초구,1
197,오케이상사,서울 서초구,1
198,마카로또,서울 서초구,1
199,인터넷 복권판매사이트,서울 서초구,10
200,운수대통가판점,서울 성동구,1
201,천하명당복권방,서울 성북구,1
202,데이앤나잇,서울 성북구,1
203,크로바쎄븐,서울 송파구,1
204,클로버 복권판매점,서울 송파구,1
205,토큰판매소,서울 송파구,1
206,복권세상,서울 양천구,1
207,로또복권판매점,서울 양천구,1
208,G마트,서울 영등포구,1
209,로또판매점,서울 영등포구,1
210,상승플러스,서울 영등포구,1
211,가로판매점,서울 영등포구,1
212,로또킹,서울 영등포구,1
213,몽곡사,서울 영등포구,1
214,데스콤㈜영등포영업소,서울 영등포구,1
215,가로판매점,서울 용산구,1
216,행운복권방,서울 은평구,1
217,제이복권방,서울 종로구,2
218,종로3가1호선역2번출구가로판매점82호,서울 종로구,1
219,가판14호,서울 중구,1
220,샛별복권방,서울 중구,1
221,대박 동행로또복권,서울 중구,1
222,묵동식품,서울 중랑구,1
223,현대슈퍼,서울 중랑구,1
224,저스트로또,서울 중랑구,1
225,CU세종가락마을8단지점,세종,1
226,로또명당반곡점,세종,1
227,세종로또방,세종,1
228,황금도깨비,세종,1
229,영화유통(1등복권방),울산 남구,1
230,삼산현대로또,울산 남구,1
231,초이스 로또,울산 남구,1
232,로또복권,울산 남구,1
233,영24시,울산 동구,1
234,대박명당,울산 북구,1
235,돼지상회,울산 북구,1
236,행운가득명당복권,울산 울주군,1
237,금빛복권,울산 울주군,1
238,제이마트,울산 울주군,1
239,1등복권방,울산 울주군,1
240,아이러브마트복권방,울산 중구,1
241,한꿈복권방,울산 중구,3
242,좋은터,인천 계양구,1
243,알파슈퍼,인천 계양구,1
244,하나복권,인천 남동구,1
245,탑로또,인천 남동구,1
246,정가네 가람기정떡,인천 남동구,1
247,대동슈퍼,인천 남동구,1
248,소래복권,인천 남동구,1
249,홈돌이로또복권,인천 남동구,1
250,로또 명당,인천 남동구,1
251,로또생삼겹,인천 남동구,1
252,동행로또복권판매,인천 동구,1
253,노다지천국,인천 미추홀구,1
254,한솔복권&마트,인천 미추홀구,1
255,충남상회,인천 미추홀구,1
256,행운복권방,인천 부평구,1
257,복권왕국,인천 부평구,1
258,대박천하마트,인천 부평구,2
259,대박운때복권방,인천 부평구,1
260,버스매표소,인천 부평구,1
261,로또복권방,인천 부평구,1
262,노다지로또,인천 서구,1
263,하영,인천 서구,1
264,대박복권방,인천 서구,1
265,당하복권명당,인천 서구,2
266,신흥엑스포쇼핑,인천 서구,1
267,드림복권방,인천 연수구,1
268,현대설비 / 영종하늘 로또,인천 중구,1
269,NBA(엔비에이),인천 중구,2
270,이마트24녹동점1등복권방,전남 고흥군,1
271,나눔로또편의점,전남 광양시,1
272,황금알복권,전남 광양시,1
273,알리바이(나주점),전남 나주시,1
274,명품복권방,전남 목포시,1
275,청호복권방,전남 목포시,1
276,복권세상,전남 목포시,2
277,행운복권,전남 무안군,2
278,토마토 남악복권방,전남 무안군,1
279,좋은사람들로또,전남 보성군,1
280,선경로또,충북 제천시,1
281,팡팡복권방,충북 진천군,1
282,해수로또,충북 청주시 상당구,1
283,복권나라,충북 청주시 상당구,1
284,럭키로또복권판매점,충북 청주시 상당구,1
285,복권명당,충북 청주시 상당구,1
286,천금복권방,충북 청주시 상당구,1
287,일등복권방,충북 청주시 서원구,1
288,로또스튜디오,충북 청주시 청원구,1
289,행복복권방,충북 청주시 흥덕구,1
290,오사랑복권,충북 청주시 흥덕구,1
291,드림복권방,충북 청주시 흥덕구,1
292,썬마트,충북 청주시 흥덕구,1
293,비엠복권,충북 청주시 흥덕구,1
294,대소원로또,충북 충주시,1
295,자매점,경기 파주시,1
296,한빛3단지 천지인,경기 파주시,1
297,대박행진 복권랜드,경기 파주시,1
298,용이복권방,경기 평택시,1
299,일동복권판매점,경기 포천시,1
300,성강동인,경기 하남시,1
301,프랜드편의점,경기 화성시,1
302,스피드세븐,경기 화성시,1
303,이제이,경기 화성시,1
304,로또1등판매점,경기 화성시,1
305,꿈꾸는돼지,경기 화성시,1
306,천하명당,경기 화성시,1
307,떴다GO 1등,경기 화성시,1
308,천하명당복권방,경남 거제시,1
309,씨유 (CU) 거창대동점,경남 거창군,1
310,아리아리,경남 김해시,1
311,목화휴게소,경남 사천시,1
312,비휴 복권판매점,경남 산청군,1
313,무지개로또복권,경남 양산시,1
314,스포츠복권방,경남 양산시,1
315,천하명당,경남 양산시,1
316,지에스(GS25)뉴양산혜인점,경남 양산시,1
317,양산황금나눔,경남 양산시,1
318,수경볼트로또,경남 양산시,1
319,똥꿈로또,경남 진주시,1
320,경일통신,경남 창원시 마산회원구,1
321,이마트24 마산만복점,경남 창원시 마산회원구,1
322,행운복권방,경남 창원시 성산구,1
323,씨유 창원역점,경남 창원시 의창구,1
324,도항로또,경남 함안군,1
325,복권명당,경북 경산시,2
326,씨스페이스 경주세방매점,경북 경주시,1
327,CU노서점,경북 경주시,1
328,웃는 복권방,경북 구미시,1
329,행운로또,경북 구미시,1
330,로또안경콘택트,경북 구미시,1
331,팔팔복권,경북 김천시,1
332,왕대박복권방,경북 문경시,1
333,홈런복권방,경북 영덕군,1
334,일화로또,경북 영양군,1
335,복권당,경북 영천시,1
336,일등로또복권 판매점,경북 영천시,1
337,대동도기상사,경북 영천시,1
338,복권명당울진점,경북 울진군,1
339,NG24,경북 칠곡군,2
340,일등복권,경북 칠곡군,1
341,지에스GS오천두배점,경북 포항시 남구,1
342,로또복권 포항IC점,경북 포항시 북구,2
343,경이네복권마트 ,경북 포항시 북구,1
344,행복충전,경북 포항시 북구,1
345,포항오거리CU복권 ,경북 포항시 북구,1
346,알리바이,광주 광산구,2
347,차밍플라워 로또,광주 광산구,1
348,행운,광주 광산구,1
349,호반할인마트,광주 광산구,1
350,노다지복권방백운점,광주 남구,1
351,해피+24시편의점,광주 북구,1
352,열정복권,광주 북구,1
353,전대복권판매점,광주 북구,1
354,금호동,광주 서구,1
355,오천억복권방,광주 서구,3
356,새상무복권,광주 서구,1
357,로또복권,대구 군위군,1
358,다다복권방,대구 달서구,1
359,상인명당복권방,대구 달서구,1
360,서재강변로또,대구 달성군,1
361,천하명당복권,대구 북구,1
362,천하명당복권,대구 북구,1
363,로또명당(북부점),대구 서구,1
364,월드복권,대구 서구,1
365,세진전자통신,대구 서구,1
366,홀인원복권,대구 수성구,1
367,메트로센터점,대구 중구,1
368,이마트24 순천산단점,전남 순천시,1
369,알짜마트왕지점,전남 순천시,1
370,중앙복권,전남 신안군,1
371,복권나라,전남 여수시,1
372,영광믿음복권,전남 영광군,1
373,터미널,전남 진도군,1
374,대광복권방,전남 화순군,2
375,씨유 군산디오션점,전북 군산시,1
376,돈나무 복권,전북 군산시,1
377,여기있었네복권방,전북 김제시,1
378,복조리복권방,전북 장수군,1
379,로또편의점,전북 전주시 덕진구,1
380,로또로복권,전북 전주시 완산구,1
381,돈방석,전북 전주시 완산구,1
382,터미널복권방,전북 정읍시,1
383,베스트올수성점,전북 정읍시,2
384,네잎크로버복권방,제주 서귀포시,1
385,행운&빈센트,제주 서귀포시,1
386,천하명당복권판매점,제주 제주시,1
387,캠퍼트리 스토어,제주 제주시,1
388,탐나네,제주 제주시,1
389,본스튜디오,제주 제주시,1
390,제일복권,제주 제주시,1
391,효당복권판매점,제주 제주시,1
392,씨유 제주연북로점,제주 제주시,1
393,만복복권,충남 계룡시,1
394,두꺼비복권방,충남 공주시,1
395,돈나무복권,충남 논산시,1
396,강경복권방,충남 논산시,1
397,인생역전 복권방,충남 논산시,1
398,로또매점,충남 당진시,1
399,금손로또판매점,충남 당진시,1
400,찬누리,충남 부여군,1
401,장미슈퍼,충남 부여군,1
402,로또명당해미점,충남 서산시,2
403,777천하명당,충남 서천군,1
404,로또명당인주점,충남 아산시,2
405,이마트24아산도고명당점,충남 아산시,1
406,대박마트복권방,충남 아산시,1
407,행복로또,충남 아산시,1
408,내포복권방,충남 예산군,1
409,GS25예산서오점복권,충남 예산군,1
410,신천하명당,충남 예산군,1
411,대산슈퍼,충남 천안시 동남구,1
412,운수대통복권방,충남 천안시 동남구,1
413,복동희로또 불당점,충남 천안시 서북구,1
414,황금로또 양당점,충남 천안시 서북구,1
415,로또복권두정점,충남 천안시 서북구,2
416,신불당로또,충남 천안시 서북구,1
417,대박로또,충남 천안시 서북구,1
418,안면대박복권방,충남 태안군,1
419,태안로또복권방,충남 태안군,1
420,천하명당복권방,충남 홍성군,1
421,보은로또,충북 보은군,1
422,서울로또방,충북 옥천군,1
423,혁신대박,충북 음성군,1
424,원대박,충북 음성군,1
